9.26	1561	94.48	460.15	584.179
8.79	854	77.81	370.95	163.986
8.57	1561	30.01	157.27	166.510
8.39	854	53.39	264.13	169.959
7.76	854	17.18	91.40	109.215
7.72	1561	479.33	2831.53	1068.284
7.38	1561	642.24	4025.69	243.195
7.30	854	70.91	400.31	378.999
7.19	1561	791.71	5367.63	424.666
7.03	854	27.73	163.37	80.631
6.89	1561	226.53	1585.66	296.300
6.83	854	86.20	525.44	671.469
6.77	1561	45.64	331.89	234.291
6.60	1561	31.82	247.38	61.491
6.39	1561	19.29	158.08	105.007
6.24	1561	49.67	436.83	230.484
6.10	1561	32.14	302.91	30.682
6.00	1561	27.07	271.32	164.566
5.95	1561	63.16	651.13	305.673
5.91	1561	30.80	327.46	314.903
5.53	854	19.48	172.13	68.389
5.30	854	20.03	199.28	256.664
5.22	854	2.23	23.45	27.307
5.16	854	8.00	87.34	104.859
5.05	854	37.35	448.99	179.986
9.34	5.72	961.76	160.387
8.77	5.15	672.33	208.395
8.31	4.69	636.46	278.478
7.81	4.19	660.64	508.182
7.37	3.75	3604.90	1028.223
7.18	3.56	4608.88	665.487
6.88	3.26	8722.16	893.694
6.76	3.14	229.83	1330.663
6.56	2.94	2786.86	758.637
6.40	2.78	975.31	1518.945
6.20	2.58	818.52	1986.872
6.12	2.50	140.53	13324.033
5.96	2.34	4124.24	507.249
5.04	1.42	1482.42	796.496
8.01	4.39	740.64	472.465
5.64	2.02	4120.58	312.075
5.13	1.51	1401.00	620.544
4.96	1.34	1746.73	744.444
4.85	1.23	2575.46	596.160
4.77	1.15	1339.18	577.813
4.68	1.06	2679.97	416.354
4.48	0.86	985.01	414.824
4.31	0.69	730.59	228.070
4.23	0.61	499.40	349.350
4.20	0.58	520.93	1720.187
4.10	0.48	978.66	165.473
4.06	0.44	699.61	276.855
4.03	0.41	804.57	231.547
3.98	0.36	662.84	140.762
3.94	0.32	722.26	172.567
3.90	0.28	332.93	146.013
3.87	0.25	969.93	154.913
3.82	0.20	929.62	167.612
3.79	0.17	1704.36	241.173
3.75	0.13	2543.44	466.683
3.72	0.10	11132.31	2264.889
3.70	0.08	60416.34	16027.703
3.69	0.07	40792.99	103867.360
