9.26	1561	141.33	688.34	26.858
8.79	854	84.58	403.21	157.663
8.57	1561	45.01	235.90	113.272
8.39	854	65.86	325.78	182.347
7.76	854	25.51	135.77	60.445
7.72	1561	313.02	1849.09	1013.896
7.38	1561	698.09	4375.75	71.110
7.30	854	106.06	598.77	12.456
7.19	1561	712.37	4829.74	226.876
7.03	854	18.09	106.56	43.872
6.89	1561	295.98	2071.82	48.138
6.83	854	128.90	785.70	332.593
6.77	1561	68.45	497.78	207.317
6.60	1561	49.83	387.36	186.762
6.39	1561	28.92	237.06	92.693
6.24	1561	53.99	474.82	28.572
6.10	1561	34.94	329.25	22.324
6.00	1561	28.99	290.59	30.021
5.95	1561	60.08	619.38	45.183
5.91	1561	46.20	491.19	20.211
5.53	854	21.18	187.10	48.275
5.30	854	30.04	298.91	44.750
5.22	854	3.35	35.17	16.345
5.16	854	12.00	131.01	8.558
5.05	854	26.34	316.65	10.463
9.34	5.72	715.86	141.834
8.71	5.09	468.12	170.018
8.31	4.69	0.00	626.837
7.81	4.19	519.06	261.214
7.37	3.75	3266.24	390.896
7.18	3.56	4856.86	481.074
6.88	3.26	8116.21	704.881
6.76	3.14	510.38	823.466
6.57	2.95	2770.21	530.658
6.36	2.74	1012.75	324.627
6.20	2.58	896.60	184.297
6.07	2.45	1426.02	257.249
5.96	2.34	3067.74	286.072
5.05	1.43	1305.18	433.563
8.17	4.55	1215.09	215.615
5.63	2.01	4120.12	270.783
5.11	1.49	1170.07	298.450
4.98	1.36	1480.06	316.165
4.86	1.24	2718.13	242.465
4.77	1.15	1474.59	179.492
4.68	1.06	2623.91	254.852
4.48	0.86	858.18	157.068
4.31	0.69	537.24	102.842
4.24	0.62	415.07	114.623
4.20	0.58	726.16	124.879
4.10	0.48	1006.97	134.971
4.06	0.44	705.13	183.493
4.03	0.41	772.84	171.426
3.98	0.36	666.52	141.979
3.94	0.32	685.78	130.616
3.90	0.28	362.66	116.655
3.87	0.25	970.38	145.248
3.82	0.20	967.96	160.965
3.79	0.17	1676.04	232.439
3.75	0.13	2653.98	457.974
3.72	0.10	10960.71	2215.905
3.70	0.08	57459.78	13311.112
3.69	0.07	40330.76	63648.783
