9.26	1561	141.33	688.34	46.019
8.79	854	84.58	403.21	136.070
8.57	1561	45.01	235.90	116.765
8.39	854	65.86	325.78	217.324
7.76	854	41.91	223.03	66.859
7.72	1561	456.76	2698.17	1000.121
7.38	1561	698.09	4375.75	128.408
7.30	854	106.07	598.82	39.619
7.19	1561	721.16	4889.33	240.383
7.03	854	18.08	106.55	10.875
6.89	1561	295.98	2071.82	75.366
6.83	854	167.60	1021.57	185.015
6.77	1561	68.45	497.78	215.446
6.60	1561	79.56	618.44	131.558
6.39	1561	29.07	238.21	81.938
6.24	1561	53.99	474.82	18.398
6.10	1561	34.94	329.25	19.035
6.00	1561	28.99	290.59	143.283
5.95	1561	60.08	619.38	25.087
5.91	1561	46.20	491.19	14.554
5.53	854	21.18	187.10	16.254
5.30	854	30.04	298.91	138.100
5.22	854	3.35	35.17	16.654
5.16	854	12.00	131.01	9.011
5.05	854	26.34	316.65	11.103
9.34	5.72	960.49	151.117
8.77	5.15	675.54	167.205
8.31	4.69	617.43	241.901
7.81	4.19	355.41	289.232
7.37	3.75	3457.75	382.037
7.18	3.56	4649.32	477.983
6.88	3.26	8465.67	621.874
6.76	3.14	292.58	635.740
6.56	2.94	2731.08	600.369
6.40	2.78	789.01	620.233
6.20	2.58	973.82	1142.916
6.07	2.45	247.67	697.066
5.97	2.35	3364.93	409.916
5.04	1.42	1209.17	794.238
8.01	4.39	826.17	352.257
5.63	2.01	4128.28	282.312
5.11	1.49	1351.86	486.099
4.96	1.34	1438.93	454.572
4.85	1.23	2490.99	556.747
4.77	1.15	1320.03	521.822
4.68	1.06	2623.27	358.373
4.48	0.86	873.11	163.322
4.31	0.69	534.60	131.080
4.23	0.61	497.30	245.307
4.20	0.58	643.08	237.210
4.10	0.48	980.01	121.035
4.06	0.44	701.60	138.142
4.03	0.41	803.43	137.457
3.98	0.36	662.44	141.058
3.94	0.32	721.98	158.733
3.90	0.28	332.68	128.177
3.87	0.25	969.68	147.237
3.82	0.20	929.41	160.982
3.79	0.17	1704.24	235.329
3.75	0.13	2542.82	432.944
3.72	0.10	11130.93	2193.383
3.70	0.08	60390.53	13187.253
3.69	0.07	41148.55	66220.590
